bin_num	chr	start	end	bin5mb	arm
343	chr1	36300000	36399999	7	1p
344	chr1	36400000	36499999	7	1p
345	chr1	36500000	36599999	7	1p
346	chr1	36600000	36699999	7	1p
347	chr1	36700000	36799999	7	1p
348	chr1	36800000	36899999	7	1p
349	chr1	36900000	36999999	7	1p
350	chr1	37000000	37099999	7	1p
351	chr1	37100000	37199999	8	1p
352	chr1	37200000	37299999	8	1p
353	chr1	37300000	37399999	8	1p
354	chr1	37400000	37499999	8	1p
355	chr1	37500000	37599999	8	1p
356	chr1	37600000	37699999	8	1p
357	chr1	37700000	37799999	8	1p
358	chr1	37800000	37899999	8	1p
359	chr1	37900000	37999999	8	1p
360	chr1	38000000	38099999	8	1p
361	chr1	38100000	38199999	8	1p
362	chr1	38200000	38299999	8	1p
363	chr1	38300000	38399999	8	1p
364	chr1	38400000	38499999	8	1p
365	chr1	38500000	38599999	8	1p
366	chr1	38600000	38699999	8	1p
367	chr1	38700000	38799999	8	1p
368	chr1	38800000	38899999	8	1p
369	chr1	38900000	38999999	8	1p
370	chr1	39000000	39099999	8	1p
371	chr1	39100000	39199999	8	1p
372	chr1	39200000	39299999	8	1p
373	chr1	39300000	39399999	8	1p
374	chr1	39400000	39499999	8	1p
375	chr1	39500000	39599999	8	1p
376	chr1	39600000	39699999	8	1p
377	chr1	39700000	39799999	8	1p
378	chr1	39800000	39899999	8	1p
379	chr1	39900000	39999999	8	1p
380	chr1	40000000	40099999	8	1p
381	chr1	40100000	40199999	8	1p
382	chr1	40200000	40299999	8	1p
383	chr1	40300000	40399999	8	1p
384	chr1	40400000	40499999	8	1p
385	chr1	40500000	40599999	8	1p
386	chr1	40600000	40699999	8	1p
387	chr1	40700000	40799999	8	1p
388	chr1	40800000	40899999	8	1p
389	chr1	40900000	40999999	8	1p
390	chr1	41000000	41099999	8	1p
391	chr1	41100000	41199999	8	1p
392	chr1	41200000	41299999	8	1p
393	chr1	41300000	41399999	8	1p
394	chr1	41400000	41499999	8	1p
395	chr1	41500000	41599999	8	1p
396	chr1	41600000	41699999	8	1p
397	chr1	41700000	41799999	8	1p
398	chr1	41800000	41899999	8	1p
399	chr1	41900000	41999999	8	1p
400	chr1	42000000	42099999	8	1p
401	chr1	42100000	42199999	9	1p
402	chr1	42200000	42299999	9	1p
403	chr1	42300000	42399999	9	1p
404	chr1	42400000	42499999	9	1p
405	chr1	42500000	42599999	9	1p
406	chr1	42600000	42699999	9	1p
407	chr1	42700000	42799999	9	1p
408	chr1	42800000	42899999	9	1p
409	chr1	42900000	42999999	9	1p
410	chr1	43000000	43099999	9	1p
411	chr1	43100000	43199999	9	1p
412	chr1	43200000	43299999	9	1p
413	chr1	43300000	43399999	9	1p
414	chr1	43400000	43499999	9	1p
415	chr1	43500000	43599999	9	1p
416	chr1	43600000	43699999	9	1p
417	chr1	43700000	43799999	9	1p
418	chr1	43800000	43899999	9	1p
419	chr1	43900000	43999999	9	1p
420	chr1	44000000	44099999	9	1p
421	chr1	44100000	44199999	9	1p
422	chr1	44200000	44299999	9	1p
423	chr1	44300000	44399999	9	1p
424	chr1	44400000	44499999	9	1p
425	chr1	44500000	44599999	9	1p
426	chr1	44600000	44699999	9	1p
427	chr1	44700000	44799999	9	1p
428	chr1	44800000	44899999	9	1p
429	chr1	44900000	44999999	9	1p
430	chr1	45000000	45099999	9	1p
431	chr1	45100000	45199999	9	1p
432	chr1	45200000	45299999	9	1p
433	chr1	45300000	45399999	9	1p
434	chr1	45400000	45499999	9	1p
435	chr1	45500000	45599999	9	1p
436	chr1	45600000	45699999	9	1p
437	chr1	45700000	45799999	9	1p
438	chr1	45800000	45899999	9	1p
439	chr1	45900000	45999999	9	1p
440	chr1	46000000	46099999	9	1p
441	chr1	46100000	46199999	9	1p
442	chr1	46200000	46299999	9	1p
443	chr1	46300000	46399999	9	1p
444	chr1	46400000	46499999	9	1p
445	chr1	46500000	46599999	9	1p
446	chr1	46600000	46699999	9	1p
447	chr1	46700000	46799999	9	1p
448	chr1	46800000	46899999	9	1p
449	chr1	46900000	46999999	9	1p
450	chr1	47000000	47099999	9	1p
451	chr1	47100000	47199999	10	1p
452	chr1	47200000	47299999	10	1p
453	chr1	47300000	47399999	10	1p
454	chr1	47400000	47499999	10	1p
455	chr1	47500000	47599999	10	1p
456	chr1	47600000	47699999	10	1p
457	chr1	47700000	47799999	10	1p
458	chr1	47800000	47899999	10	1p
459	chr1	47900000	47999999	10	1p
460	chr1	48000000	48099999	10	1p
461	chr1	48100000	48199999	10	1p
462	chr1	48200000	48299999	10	1p
463	chr1	48300000	48399999	10	1p
464	chr1	48400000	48499999	10	1p
465	chr1	48500000	48599999	10	1p
466	chr1	48600000	48699999	10	1p
467	chr1	48700000	48799999	10	1p
468	chr1	48800000	48899999	10	1p
469	chr1	48900000	48999999	10	1p
470	chr1	49000000	49099999	10	1p
471	chr1	49100000	49199999	10	1p
472	chr1	49200000	49299999	10	1p
473	chr1	49300000	49399999	10	1p
474	chr1	49400000	49499999	10	1p
475	chr1	49500000	49599999	10	1p
476	chr1	49600000	49699999	10	1p
477	chr1	49700000	49799999	10	1p
478	chr1	49800000	49899999	10	1p
479	chr1	49900000	49999999	10	1p
480	chr1	50000000	50099999	10	1p
481	chr1	50100000	50199999	10	1p
482	chr1	50200000	50299999	10	1p
483	chr1	50300000	50399999	10	1p
484	chr1	50400000	50499999	10	1p
485	chr1	50500000	50599999	10	1p
486	chr1	50600000	50699999	10	1p
487	chr1	50700000	50799999	10	1p
488	chr1	50800000	50899999	10	1p
489	chr1	50900000	50999999	10	1p
490	chr1	51000000	51099999	10	1p
491	chr1	51100000	51199999	10	1p
492	chr1	51200000	51299999	10	1p
493	chr1	51300000	51399999	10	1p
494	chr1	51400000	51499999	10	1p
495	chr1	51500000	51599999	10	1p
496	chr1	51600000	51699999	10	1p
497	chr1	51700000	51799999	10	1p
498	chr1	51800000	51899999	10	1p
499	chr1	51900000	51999999	10	1p
500	chr1	52000000	52099999	10	1p
501	chr1	52100000	52199999	11	1p
502	chr1	52200000	52299999	11	1p
503	chr1	52300000	52399999	11	1p
504	chr1	52400000	52499999	11	1p
505	chr1	52500000	52599999	11	1p
506	chr1	52600000	52699999	11	1p
507	chr1	52700000	52799999	11	1p
508	chr1	52800000	52899999	11	1p
509	chr1	52900000	52999999	11	1p
510	chr1	53000000	53099999	11	1p
511	chr1	53100000	53199999	11	1p
512	chr1	53200000	53299999	11	1p
513	chr1	53300000	53399999	11	1p
514	chr1	53400000	53499999	11	1p
515	chr1	53500000	53599999	11	1p
516	chr1	53600000	53699999	11	1p
517	chr1	53700000	53799999	11	1p
518	chr1	53800000	53899999	11	1p
519	chr1	53900000	53999999	11	1p
520	chr1	54000000	54099999	11	1p
521	chr1	54100000	54199999	11	1p
522	chr1	54200000	54299999	11	1p
523	chr1	54300000	54399999	11	1p
524	chr1	54400000	54499999	11	1p
525	chr1	54500000	54599999	11	1p
526	chr1	54600000	54699999	11	1p
527	chr1	54700000	54799999	11	1p
528	chr1	54800000	54899999	11	1p
529	chr1	54900000	54999999	11	1p
530	chr1	55000000	55099999	11	1p
531	chr1	55100000	55199999	11	1p
532	chr1	55200000	55299999	11	1p
533	chr1	55300000	55399999	11	1p
534	chr1	55400000	55499999	11	1p
535	chr1	55500000	55599999	11	1p
536	chr1	55600000	55699999	11	1p
537	chr1	55700000	55799999	11	1p
538	chr1	55800000	55899999	11	1p
539	chr1	55900000	55999999	11	1p
540	chr1	56000000	56099999	11	1p
541	chr1	56100000	56199999	11	1p
542	chr1	56200000	56299999	11	1p
543	chr1	56300000	56399999	11	1p
544	chr1	56400000	56499999	11	1p
545	chr1	56500000	56599999	11	1p
546	chr1	56600000	56699999	11	1p
547	chr1	56700000	56799999	11	1p
548	chr1	56800000	56899999	11	1p
549	chr1	56900000	56999999	11	1p
550	chr1	57000000	57099999	11	1p
551	chr1	57100000	57199999	12	1p
552	chr1	57200000	57299999	12	1p
553	chr1	57300000	57399999	12	1p
554	chr1	57400000	57499999	12	1p
555	chr1	57500000	57599999	12	1p
556	chr1	57600000	57699999	12	1p
557	chr1	57700000	57799999	12	1p
558	chr1	57800000	57899999	12	1p
559	chr1	57900000	57999999	12	1p
560	chr1	58000000	58099999	12	1p
561	chr1	58100000	58199999	12	1p
562	chr1	58200000	58299999	12	1p
563	chr1	58300000	58399999	12	1p
564	chr1	58400000	58499999	12	1p
565	chr1	58500000	58599999	12	1p
566	chr1	58600000	58699999	12	1p
567	chr1	58700000	58799999	12	1p
568	chr1	58800000	58899999	12	1p
569	chr1	58900000	58999999	12	1p
570	chr1	59000000	59099999	12	1p
571	chr1	59100000	59199999	12	1p
572	chr1	59200000	59299999	12	1p
573	chr1	59300000	59399999	12	1p
574	chr1	59400000	59499999	12	1p
575	chr1	59500000	59599999	12	1p
576	chr1	59600000	59699999	12	1p
577	chr1	59700000	59799999	12	1p
578	chr1	59800000	59899999	12	1p
579	chr1	59900000	59999999	12	1p
580	chr1	60000000	60099999	12	1p
581	chr1	60100000	60199999	12	1p
582	chr1	60200000	60299999	12	1p
583	chr1	60300000	60399999	12	1p
584	chr1	60400000	60499999	12	1p
585	chr1	60500000	60599999	12	1p
586	chr1	60600000	60699999	12	1p
587	chr1	60700000	60799999	12	1p
588	chr1	60800000	60899999	12	1p
589	chr1	60900000	60999999	12	1p
590	chr1	61000000	61099999	12	1p
591	chr1	61100000	61199999	12	1p
592	chr1	61200000	61299999	12	1p
593	chr1	61300000	61399999	12	1p
594	chr1	61400000	61499999	12	1p
595	chr1	61500000	61599999	12	1p
596	chr1	61600000	61699999	12	1p
597	chr1	61700000	61799999	12	1p
598	chr1	61800000	61899999	12	1p
599	chr1	61900000	61999999	12	1p
600	chr1	62000000	62099999	12	1p
601	chr1	62100000	62199999	13	1p
602	chr1	62200000	62299999	13	1p
603	chr1	62300000	62399999	13	1p
604	chr1	62400000	62499999	13	1p
605	chr1	62500000	62599999	13	1p
606	chr1	62600000	62699999	13	1p
607	chr1	62700000	62799999	13	1p
608	chr1	62800000	62899999	13	1p
609	chr1	62900000	62999999	13	1p
610	chr1	63000000	63099999	13	1p
611	chr1	63100000	63199999	13	1p
612	chr1	63200000	63299999	13	1p
613	chr1	63300000	63399999	13	1p
614	chr1	63400000	63499999	13	1p
615	chr1	63500000	63599999	13	1p
616	chr1	63600000	63699999	13	1p
617	chr1	63700000	63799999	13	1p
618	chr1	63800000	63899999	13	1p
619	chr1	63900000	63999999	13	1p
620	chr1	64000000	64099999	13	1p
621	chr1	64100000	64199999	13	1p
622	chr1	64200000	64299999	13	1p
623	chr1	64300000	64399999	13	1p
624	chr1	64400000	64499999	13	1p
625	chr1	64500000	64599999	13	1p
626	chr1	64600000	64699999	13	1p
627	chr1	64700000	64799999	13	1p
628	chr1	64800000	64899999	13	1p
629	chr1	64900000	64999999	13	1p
630	chr1	65000000	65099999	13	1p
631	chr1	65100000	65199999	13	1p
632	chr1	65200000	65299999	13	1p
633	chr1	65300000	65399999	13	1p
634	chr1	65400000	65499999	13	1p
635	chr1	65500000	65599999	13	1p
636	chr1	65600000	65699999	13	1p
637	chr1	65700000	65799999	13	1p
638	chr1	65800000	65899999	13	1p
639	chr1	65900000	65999999	13	1p
640	chr1	66000000	66099999	13	1p
641	chr1	66100000	66199999	13	1p
642	chr1	66200000	66299999	13	1p
643	chr1	66300000	66399999	13	1p
644	chr1	66400000	66499999	13	1p
645	chr1	66500000	66599999	13	1p
646	chr1	66600000	66699999	13	1p
647	chr1	66700000	66799999	13	1p
648	chr1	66800000	66899999	13	1p
649	chr1	66900000	66999999	13	1p
650	chr1	67000000	67099999	13	1p
651	chr1	67100000	67199999	14	1p
652	chr1	67200000	67299999	14	1p
653	chr1	67300000	67399999	14	1p
654	chr1	67400000	67499999	14	1p
655	chr1	67500000	67599999	14	1p
656	chr1	67600000	67699999	14	1p
657	chr1	67700000	67799999	14	1p
658	chr1	67800000	67899999	14	1p
659	chr1	67900000	67999999	14	1p
660	chr1	68000000	68099999	14	1p
661	chr1	68100000	68199999	14	1p
662	chr1	68200000	68299999	14	1p
663	chr1	68300000	68399999	14	1p
664	chr1	68400000	68499999	14	1p
665	chr1	68500000	68599999	14	1p
666	chr1	68600000	68699999	14	1p
667	chr1	68700000	68799999	14	1p
668	chr1	68800000	68899999	14	1p
669	chr1	68900000	68999999	14	1p
670	chr1	69000000	69099999	14	1p
671	chr1	69100000	69199999	14	1p
672	chr1	69200000	69299999	14	1p
673	chr1	69300000	69399999	14	1p
674	chr1	69400000	69499999	14	1p
675	chr1	69500000	69599999	14	1p
676	chr1	69600000	69699999	14	1p
677	chr1	69700000	69799999	14	1p
678	chr1	69800000	69899999	14	1p
679	chr1	69900000	69999999	14	1p
680	chr1	70000000	70099999	14	1p
681	chr1	70100000	70199999	14	1p
682	chr1	70200000	70299999	14	1p
683	chr1	70300000	70399999	14	1p
684	chr1	70400000	70499999	14	1p
685	chr1	70500000	70599999	14	1p
686	chr1	70600000	70699999	14	1p
687	chr1	70700000	70799999	14	1p
688	chr1	70800000	70899999	14	1p
689	chr1	70900000	70999999	14	1p
690	chr1	71000000	71099999	14	1p
691	chr1	71100000	71199999	14	1p
692	chr1	71200000	71299999	14	1p
693	chr1	71300000	71399999	14	1p
694	chr1	71400000	71499999	14	1p
695	chr1	71500000	71599999	14	1p
696	chr1	71600000	71699999	14	1p
697	chr1	71700000	71799999	14	1p
698	chr1	71800000	71899999	14	1p
699	chr1	71900000	71999999	14	1p
700	chr1	72000000	72099999	14	1p
701	chr1	72100000	72199999	15	1p
702	chr1	72200000	72299999	15	1p
703	chr1	72300000	72399999	15	1p
704	chr1	72400000	72499999	15	1p
705	chr1	72500000	72599999	15	1p
706	chr1	72600000	72699999	15	1p
707	chr1	72700000	72799999	15	1p
708	chr1	72800000	72899999	15	1p
709	chr1	72900000	72999999	15	1p
710	chr1	73000000	73099999	15	1p
711	chr1	73100000	73199999	15	1p
712	chr1	73200000	73299999	15	1p
713	chr1	73300000	73399999	15	1p
714	chr1	73400000	73499999	15	1p
715	chr1	73500000	73599999	15	1p
716	chr1	73600000	73699999	15	1p
717	chr1	73700000	73799999	15	1p
718	chr1	73800000	73899999	15	1p
719	chr1	73900000	73999999	15	1p
720	chr1	74000000	74099999	15	1p
721	chr1	74100000	74199999	15	1p
722	chr1	74200000	74299999	15	1p
723	chr1	74300000	74399999	15	1p
724	chr1	74400000	74499999	15	1p
725	chr1	74500000	74599999	15	1p
726	chr1	74600000	74699999	15	1p
727	chr1	74700000	74799999	15	1p
728	chr1	74800000	74899999	15	1p
729	chr1	74900000	74999999	15	1p
730	chr1	75000000	75099999	15	1p
731	chr1	75100000	75199999	15	1p
732	chr1	75200000	75299999	15	1p
733	chr1	75300000	75399999	15	1p
734	chr1	75400000	75499999	15	1p
